query,rank,filename,label,similarity_score,relevant
Machine Learning,1,18448085.pdf,AUTOMOBILE,0.4252568781375885,1
Machine Learning,2,12011623.pdf,ENGINEERING,0.3946226239204407,1
Machine Learning,3,22946204.pdf,AUTOMOBILE,0.3916662633419037,1
Machine Learning,4,62994611.pdf,AGRICULTURE,0.3767985999584198,1
Machine Learning,5,20674668.pdf,INFORMATION-TECHNOLOGY,0.3696403503417969,0
Human Resources,1,32947778.pdf,HR,0.6706534624099731,1
Human Resources,2,87968870.pdf,HR,0.6639479994773865,1
Human Resources,3,23011221.pdf,FITNESS,0.6620302200317383,1
Human Resources,4,14225422.pdf,HR,0.6587772369384766,1
Human Resources,5,17812897.pdf,HR,0.6571577787399292,1
Finance,1,24833063.pdf,FINANCE,0.63860684633255,1
Finance,2,12802330.pdf,ACCOUNTANT,0.6003049612045288,1
Finance,3,31948488.pdf,FINANCE,0.5954935550689697,1
Finance,4,27637576.pdf,ACCOUNTANT,0.5920535326004028,1
Finance,5,81677620.pdf,FINANCE,0.5895899534225464,1
Software / IT,1,62994611.pdf,AGRICULTURE,0.5572081208229065,1
Software / IT,2,12144825.pdf,AVIATION,0.512866735458374,1
Software / IT,3,20674668.pdf,INFORMATION-TECHNOLOGY,0.5060409307479858,1
Software / IT,4,12415691.pdf,DESIGNER,0.49839070439338684,1
Software / IT,5,22946204.pdf,AUTOMOBILE,0.4808039963245392,1
